Order,Family,Species,ZooMS_taxon,COL1a2_978_990,COL1a2_604_618,COL1a2_502_519,COL1a2_889_906,COL1a2_889_906,COL1a2_175_192,COL1a2_292_309,COL1a2_625_648,COL1a2_625_653,COL1a2_658_687,COL1a2_454_483,COL1a2_757_789,COL1a2_10_42,COL1a2_10_42,COL1a2_520_555,COL1a2_520_555
Coliiformes,Coliidae,Colius Striatus,Speckled mousebird,1220.7,1251.6,1578.8,1550.8,1566.8,1603.8,1609.8,2135.0,2493.2,2471.2,2804.3,2927.5,3097.4,3113.4,3136.5,3152.5
Columbiformes,Columbidae,Columba Livia,Rock dove,1192.6,1225.6,1578.8,1592.8,1608.8,1596.8,1579.7,2108.0,2466.2,2497.2,2804.3,2881.5,3097.4,3113.4,3150.4,3166.4
Passeriformes,Pipridae,Corapipo Altera,White-ruffed manakin,1220.7,1221.6,1568.8,1592.8,1608.8,1626.8,1596.8,2108.0,2466.2,2509.3,2777.3,2927.5,3097.4,3113.4,3150.5,3166.5
Passeriformes,Corvidae,Corvus Brachyrhynchos,American crow,1220.7,1221.6,1552.8,1564.8,1580.8,1603.8,1608.8,2135.0,2493.2,2525.3,2777.3,2913.5,3111.4,3127.4,3166.5,3182.5
Passeriformes,Corvidae,Corvus Cornix Cornix,Corvus Cornix Cornix,1220.7,1221.6,1552.8,1564.8,1580.8,1603.8,1608.8,2135.0,2493.2,2525.3,2777.3,2913.5,3111.4,3127.4,3166.5,3182.5
Passeriformes,Corvidae,Corvus Hawaiiensis,Hawaiian crow,1220.7,1221.6,1552.8,1564.8,1580.8,1603.8,1608.8,2135.0,2493.2,2525.3,2777.3,2927.5,3111.4,3127.4,3166.5,3182.5
Passeriformes,Corvidae,Corvus Kubaryi,Mariana crow,1220.7,1221.6,1552.8,1564.8,1580.8,1603.8,1608.8,2135.0,2493.2,2525.3,2777.3,2927.5,3111.4,3127.4,3166.5,3182.5
Passeriformes,Corvidae,Corvus Moneduloides,New Caledonian crow,1220.7,1221.6,1552.8,1564.8,1580.8,1603.8,1608.8,2135.0,2493.2,2525.3,2777.3,2927.5,3111.4,3127.4,3166.5,3182.5
Musophagiformes,Musophagidae,Corythaeola Cristata,Great blue turaco,1220.7,1221.6,1578.8,1550.8,1566.8,1589.8,1596.8,2108.0,2466.2,2511.3,2804.3,2927.5,3097.4,3113.4,3152.5,3168.5
Galliformes,Phasianidae,Coturnix Japonica,Japanese quail,1220.7,1221.6,1594.8,1550.8,1566.8,1603.8,1609.8,2108.0,2466.2,2553.3,2777.3,2927.5,3097.4,3113.4,3164.5,3180.5
Cuculiformes,Cuculidae,Cuculus Canorus,common cuckoo,1220.7,1251.6,1578.8,1550.8,1566.8,1603.8,1596.8,2108.0,2466.2,2467.2,2804.3,2927.5,3090.4,3106.4,3150.4,3166.4
Passeriformes,Paridae,Cyanistes Caeruleus,Eurasian blue tit,1220.7,1221.6,1578.8,1592.8,1608.8,1589.8,1608.8,2108.0,2466.2,2511.3,2777.3,2897.5,3111.4,3127.4,3166.5,3182.5
Corvidae,Passeriformes,Cyanocitta cristata,Blue jay,1220.7,1221.6,1552.8,1592.8,1608.8,1589.8,1608.8,2135.0,2493.2,2525.3,2777.3,2927.5,3111.4,3127.4,3166.5,3182.5
Anseriformes,Anatidae,Cygnus Atratus,Black swan,1192.6,1221.6,1578.8,1644.8,1660.8,1589.8,1609.8,2108.0,2466.2,2497.2,2804.3,2969.5,3097.4,3113.4,3152.5,3168.5
Anseriformes,Anatidae,Cygnus Olor,Mute swan,1192.6,1221.6,1578.8,1644.8,1660.8,1589.8,1609.8,2108.0,2466.2,2497.2,2804.3,2969.5,3097.4,3113.4,3152.5,3168.5
Galliformes,Odontophoridae,Cyrtonyx Montezumae,Montezuma quail,1220.7,1221.6,1594.8,1550.8,1566.8,1603.8,1609.8,2108.0,2466.2,2539.3,2777.3,2927.5,3097.4,3113.4,3192.5,3208.5
Casuariiformes,Dromaiidae,Dromaius Novaehollandiae,Emu,1220.7,1221.6,1582.8,1620.8,1636.8,1603.8,1596.8,2108.0,2466.2,2511.3,2804.3,2943.5,3097.4,3113.4,3152.5,3168.5
Piciformes,Picidae,Dryobates Pubescens,Downy woodpecker,1220.7,1221.6,1578.8,1550.8,1566.8,1589.8,1609.8,2135.0,2493.2,2497.2,2777.3,2927.5,3111.4,3127.4,3166.5,3182.5
Pelecaniformes,Ardeidae,Egretta Garzetta,Little egret,1220.7,1221.6,1578.8,1550.8,1566.8,1589.8,1596.8,2108.0,2466.2,2511.3,2804.3,2939.5,3097.4,3113.4,3152.5,3168.5
Passeriformes,Tyrannidae,Empidonax Traillii,Willow flycatcher,1220.7,1221.6,1578.8,1564.8,1580.8,1603.8,1596.8,2108.0,2466.2,2539.3,2777.3,2927.5,3111.4,3127.4,3156.5,3172.5
Passeriformes,Timaliidae,Erpornis Zantholeuca,Erpornis Zantholeuca,1220.7,1221.6,1578.8,1592.8,1608.8,1589.8,1608.8,2108.0,2466.2,2511.3,2777.3,2927.5,3111.4,3127.4,3156.5,3172.5
Piciformes,Ramphastidae,Eubucco Bourcierii,red-headed barbet,1220.7,1221.6,1578.8,1550.8,1566.8,1589.8,1609.8,2108.0,2466.2,2511.3,2777.3,2927.5,3097.4,3113.4,3136.5,3152.5
